Total Population,Median Gross Rent,Median Household Income,Poverty_Rate,Vacancy_Rate,Renter_Household_Rate,Cost_Burdened_Rate,Unemployment_Rate,"Total Year-Round Beds (ES, TH, SH)",Average Temperature,Overall Homeless,Overall Homeless Individuals,Overall Homeless People in Families,Unsheltered Homeless,Sheltered Total Homeless,Overall_Homeless_Per_Capita,Overall_Homeless_Individuals_Per_Capita,Overall_Homeless_People_in_Families_Per_Capita,Unsheltered_Homeless_Per_Capita,Sheltered_Homeless_Per_Capita
436528,114619,7298422,11.61826962,25.51952173,33.38441662,37.96702279,8.351175719,845,7.5,796,585,211,176,620,0.00182348,0.00134012,0.00048336,0.000403181,0.001420298
437194,121364,7736011,11.122751,24.75772283,33.21388593,37.6050636,8.725650515,965,-6.4,891,629,262,169,722,0.002037997,0.001438721,0.000599276,0.000386556,0.001651441
435476,124532,7963308,11.09337828,24.20528151,32.18248751,39.64376175,8.122204217,996,10.6,630,390,240,0,630,0.001446693,0.000895572,0.000551121,0,0.001446693
431376,132511,8527575,10.87682208,22.93940713,32.16127398,38.11187399,7.361758827,1069,2.6,826,584,242,232,594,0.001914803,0.001353807,0.000560996,0.000537814,0.001376989
431376,132511,8527575,10.87682208,22.93940713,32.16127398,38.11187399,7.361758827,1120,10.9,854,595,259,133,721,0.001979711,0.001379307,0.000600404,0.000308316,0.001671396
875443,164700,10459033,13.62247456,12.86266532,30.3561604,46.0467391,8.95239638,,46.7,2104,1529,575,864,1240,0.002403355,0.001746544,0.00065681,0.000986929,0.001416426
875443,164700,10459033,13.62247456,12.86266532,30.3561604,46.0467391,8.95239638,,43,2104,1529,575,864,1240,0.002403355,0.001746544,0.00065681,0.000986929,0.001416426
875443,164700,10459033,13.62247456,12.86266532,30.3561604,46.0467391,8.95239638,,45.3,2273,1645,628,1204,1069,0.0025964,0.001879049,0.000717351,0.001375304,0.001221096
875443,164700,10459033,13.62247456,12.86266532,30.3561604,46.0467391,8.95239638,,40,2273,1645,628,1204,1069,0.0025964,0.001879049,0.000717351,0.001375304,0.001221096
906361,175731,10887274,14.07816532,12.94830742,30.4581561,47.35015538,8.879006321,,41.1,1950,1445,505,926,1024,0.002151461,0.001594287,0.000557173,0.001021668,0.001129793
906777,178108,10601525,14.93774103,13.05294852,31.23115464,47.89575885,9.377865124,,50.1,1707,1222,485,698,1009,0.001882492,0.00134763,0.000534861,0.000769759,0.001112732
911648,183898,10723431,15.6211608,12.95888751,31.69771965,48.26240063,9.62340241,,50,1469,1089,380,509,960,0.001611368,0.00119454,0.000416828,0.00055833,0.001053038
927494,188066,10939832,16.21325852,13.13218196,32.05862065,47.47139102,9.165389923,1065,37.3,1329,915,414,414,915,0.001432893,0.000986529,0.000446364,0.000446364,0.000986529
928301,186564,10884440,16.21467606,12.91932233,32.6487507,46.95568123,8.325702291,1054,43.6,1153,886,267,237,916,0.001242054,0.000954432,0.000287622,0.000255305,0.000986749
929834,188578,11383690,15.51384441,13.12525644,32.66135826,45.72368421,7.335647185,1113,43,1228,927,301,196,1032,0.001320666,0.000996952,0.000323714,0.00021079,0.001109876
932342,192599,11628372,15.17468912,13.51489857,32.77008684,45.31126474,6.857563232,986,52.4,1092,932,160,217,875,0.001171244,0.000999633,0.000171611,0.000232747,0.000938497
914084,194331,11633449,14.93735805,13.92174903,33.35508496,44.47367755,6.532686502,911,40.4,901,720,181,219,682,0.000985686,0.000787674,0.000198012,0.000239584,0.000746102
915327,199115,12054657,13.91338833,13.82845451,33.25568537,43.67346594,5.86308477,827,46.5,981,805,176,326,655,0.001071748,0.000879467,0.000192281,0.000356157,0.000715591
816871,217718,13297754,14.35147043,13.9934714,35.00549702,43.58017503,6.105854046,888,49.5,848,709,139,247,601,0.001038108,0.000867946,0.000170162,0.000302373,0.000735734
867649,240651,14404711,14.12022604,12.92276524,33.34055459,45.10667842,5.644219268,639,46.6,875,754,121,319,556,0.001008472,0.000869015,0.000139457,0.00036766,0.000640812
871076,261744,15819879,13.8890292,12.49993573,33.04852178,46.97985384,5.029725198,670,43.9,943,823,120,342,601,0.001082569,0.000944808,0.000137761,0.000392618,0.000689951
871076,261744,15819879,13.8890292,12.49993573,33.04852178,46.97985384,5.029725198,544,51.4,847,748,99,382,465,0.000972361,0.000858708,0.000113653,0.000438538,0.000533823
581664,104167,5867282,16.87623783,18.96892794,29.03206953,46.26320191,9.517718757,,46.7,649,499,150,239,410,0.001115764,0.000857884,0.000257881,0.00041089,0.000704874
581664,104167,5867282,16.87623783,18.96892794,29.03206953,46.26320191,9.517718757,,43,524,350,174,183,341,0.000900864,0.000601722,0.000299142,0.000314615,0.000586249
581664,104167,5867282,16.87623783,18.96892794,29.03206953,46.26320191,9.517718757,,45.3,747,572,175,336,411,0.001284247,0.000983386,0.000300861,0.000577653,0.000706593
581664,104167,5867282,16.87623783,18.96892794,29.03206953,46.26320191,9.517718757,,40,883,540,343,401,482,0.001518059,0.000928371,0.000589688,0.000689401,0.000828657
587786,107260,6061588,16.87178667,18.58111637,29.4756165,47.98985549,9.517718757,,41.1,718,542,176,311,407,0.001221533,0.000922104,0.000299429,0.000529104,0.000692429
