COCNUM,year,weighted median income,weighted median rent,total population,tract count
AK-500,2007,78328.53312202964,1062.638009336293,284267.0,55.0
AK-500,2008,78328.53312202964,1062.638009336293,284267.0,55.0
AK-500,2009,78328.53312202964,1062.638009336293,284267.0,55.0
AK-500,2010,78328.53312202964,1062.638009336293,284267.0,55.0
AK-500,2011,80808.6997807857,1037.436469605762,287390.0,55.0
AK-500,2012,81121.05789275054,1075.357745222493,291470.0,55.0
AK-500,2013,82315.83431954667,1167.0494517963534,295237.0,55.0
AK-500,2014,83048.82802889548,1068.4081085794392,298178.0,55.0
AK-500,2015,83256.52855332707,1317.8854389900605,299107.0,55.0
AK-500,2016,86231.67073476301,1360.3188850765566,299321.0,55.0
AK-500,2017,88499.56734009557,1377.384833598793,298225.0,55.0
AK-500,2018,90126.78142054357,1430.4955692440699,296112.0,55.0
AK-500,2019,91852.24423996103,1521.7191710585935,293531.0,55.0
AK-500,2020,90409.41075011127,1503.2365538019103,292090.0,61.0
AK-500,2021,95005.44033567485,1497.011912697192,292545.0,61.0
AK-500,2022,101864.98593613463,1623.2505418441278,290674.0,61.0
AK-500,2023,105593.78565671171,1632.7930874635467,289069.0,61.0
AK-501,2007,64208.390446260215,954.7586549340037,397750.0,110.0
AK-501,2008,64208.390446260215,954.7586549340037,397750.0,110.0
AK-501,2009,64208.390446260215,954.7586549340037,397750.0,110.0
AK-501,2010,64208.390446260215,954.7586549340037,397750.0,110.0
AK-501,2011,66493.7596889068,990.7829961756104,404509.0,110.0
AK-501,2012,66838.5769614572,1039.5475846257193,410868.0,110.0
AK-501,2013,67111.2718097183,1022.2122553907142,416225.0,110.0
AK-501,2014,68261.53370130333,1035.9638202407236,421230.0,110.0
AK-501,2015,68135.76849190795,1075.441596664843,433203.0,111.0
AK-501,2016,69878.9845027833,1086.2347650791469,436530.0,111.0
AK-501,2017,71597.67128014294,1109.834577173876,439365.0,111.0
AK-501,2018,72545.64191104013,1128.830457485247,441435.0,111.0
AK-501,2019,72739.93139507821,1130.4851693431217,442563.0,111.0
AK-501,2020,73351.07357810564,1152.3760355895934,443950.0,115.0
AK-501,2021,76165.7516440901,1189.115741682373,442494.0,115.0
AK-501,2022,81170.2029846369,1242.3635075687505,443270.0,115.0
AK-501,2023,84524.69605136957,1292.3136614777757,444154.0,115.0
AL-500,2007,55818.986936085144,794.7988989140418,925450.0,224.0
AL-500,2008,55818.986936085144,794.7988989140418,925450.0,224.0
AL-500,2009,55818.986936085144,794.7988989140418,925450.0,224.0
AL-500,2010,55818.986936085144,794.7988989140418,925450.0,224.0
AL-500,2011,56574.935717092085,835.4646461718805,931554.0,224.0
AL-500,2012,56397.43773093293,846.7809728871538,937231.0,224.0
AL-500,2013,56201.713128519215,866.6080818831597,941439.0,224.0
AL-500,2014,56191.872956612264,893.1742830422621,945244.0,224.0
AL-500,2015,56625.41824402691,896.7419223550747,948420.0,224.0
AL-500,2016,58893.27974838775,904.6217598775986,951623.0,224.0
AL-500,2017,60926.323468932635,917.4805343423535,955118.0,224.0
AL-500,2018,63329.994172938015,927.9247823850577,958459.0,224.0
AL-500,2019,66377.86979724295,972.2789394662996,961101.0,224.0
AL-500,2020,68507.17662834295,922.4744722967463,963894.0,268.0
AL-500,2021,71943.6335034999,1004.3027429956228,983742.0,268.0
AL-500,2022,78465.78920639741,1098.8401315922665,987900.0,268.0
AL-500,2023,81971.33593707369,1109.9381054201588,989602.0,268.0
AL-501,2007,45278.507967851394,761.904693785709,584411.0,145.0
AL-501,2008,45278.507967851394,761.904693785709,584411.0,145.0
AL-501,2009,45278.507967851394,761.904693785709,584411.0,145.0
AL-501,2010,45278.507967851394,761.904693785709,584411.0,145.0
AL-501,2011,47191.72236091268,785.4167611513059,590043.0,145.0
AL-501,2012,47334.7928056515,800.4713302424927,595523.0,145.0
AL-501,2013,46976.639394837934,802.185444992687,600302.0,145.0
AL-501,2014,47622.51635026848,845.0398463444858,605250.0,145.0
AL-501,2015,47396.31990639544,848.0143377116113,609372.0,145.0
AL-501,2016,48376.8652266777,866.4794420341447,613801.0,145.0
AL-501,2017,50594.31604952662,882.7448825296914,617688.0,145.0
AL-501,2018,52667.676621716666,912.5563373723036,622766.0,145.0
AL-501,2019,54117.79185222284,923.4062452148836,626944.0,145.0
AL-501,2020,57199.01275887048,908.6398003371999,632266.0,177.0
