CoC_Number,Year,weighted median income,weighted median rent,total population,CoC Name,Overall Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Overall Homeless People in Families,Poverty_Rate,Vacancy_Rate,Renter_Household_Rate,Cost_Burdened_Rate,Unemployment_Rate,Average Temperature,"Beds (ES, TH, SH)"
AK-500,2007,78328.53312202964,1062.638009336293,284267.0,Anchorage CoC,3.426356207368425,2.9620040314211638,0.46435217594726086,2.4484023822673753,0.9779538251010492,8.298238192,7.425171749,40.85827925,42.15339686,7.583367525,5.5,884.0
AK-500,2008,78328.53312202964,1062.638009336293,284267.0,Anchorage CoC,3.5987293635912714,3.2399117730865696,0.3588175905047015,2.4448845627526237,1.1538448008386482,8.298238192,7.425171749,40.85827925,42.15339686,7.583367525,0.4,899.0
AK-500,2009,78328.53312202964,1062.638009336293,284267.0,Anchorage CoC,4.457077325190754,3.9047796613746932,0.5522976638160603,2.8881298216113724,1.5689475035793814,8.298238192,7.425171749,40.85827925,42.15339686,7.583367525,-0.2,877.0
AK-500,2010,78328.53312202964,1062.638009336293,284267.0,Anchorage CoC,4.330435822659682,3.91533311991895,0.4151027027407332,2.603186440916462,1.7272493817432204,8.298238192,7.425171749,40.85827925,42.15339686,7.583367525,1.5,990.0
AK-500,2011,80808.6997807857,1037.436469605762,287390.0,Anchorage CoC,4.255541250565433,3.764918751522322,0.49062249904311217,2.762796200285327,1.4927450502801072,8.504626715,7.073878313,42.29354659,42.84594772,7.593841008,7.0,1056.0
AK-500,2012,81121.05789275054,1075.357745222493,291470.0,Anchorage CoC,3.935224894500292,3.7636806532404705,0.1715442412598209,2.713829896730367,1.2213949977699248,8.02785699,6.954797237,41.195061,44.03211418,7.478924743,-12.8,1001.0
AK-500,2013,82315.83431954667,1167.0494517963534,295237.0,Anchorage CoC,3.8003366786683244,3.624206993025942,0.1761296856423822,2.8587202823494344,0.9416163963188895,8.150461114,7.375905127,41.13714742,43.52197856,7.553461254,9.8,1015.0
AK-500,2014,83048.82802889548,1068.4081085794392,298178.0,Anchorage CoC,3.4308366143712816,3.2530904359141184,0.17774617845716317,2.4683242895183413,0.9625123248529402,8.837944424,7.921202996,39.72180585,43.34872674,7.143623369,18.4,988.0
AK-500,2015,83256.52855332707,1317.8854389900605,299107.0,Anchorage CoC,4.038688496090028,3.4402404490700653,0.5984480470199628,2.79832969472463,1.2403588013653977,8.086369789,7.885971787,40.56539016,45.25954526,6.718333344,7.1,1019.0
AK-500,2016,86231.67073476301,1360.3188850765566,299321.0,Anchorage CoC,3.6916888557769085,2.8898740816715165,0.8018147741053918,3.0235098773557487,0.6681789784211599,8.044292404,8.396699272,40.7570042,45.70609077,6.087872481,17.2,1007.0
AK-500,2017,88499.56734009557,1377.384833598793,298225.0,Anchorage CoC,3.7823790762008547,3.2626372705172266,0.519741805683628,2.8434906530304302,0.9388884231704251,8.016331615,8.576838624,40.89808539,44.80979553,5.806138975,4.5,1023.0
AK-500,2018,90126.78142054356,1430.49556924407,296112.0,Anchorage CoC,3.694548008861512,3.377100556546172,0.3174474523153401,2.7489598530285835,0.9455881558329281,9.103777358,8.657760196,40.04408097,45.93230977,5.663429374,6.7,1028.0
AK-500,2019,91852.24423996104,1521.7191710585937,293531.0,Anchorage CoC,3.7849494601933014,3.4544903264050477,0.33045913378825403,2.7220293597609793,1.0629201004323223,8.850362146,8.560813386,38.51188165,44.10506124,5.7331679,7.5,1033.0
AK-500,2020,90409.41075011127,1503.2365538019103,292090.0,Anchorage CoC,3.622171248587764,3.4338731212982303,0.18829812728953405,2.793659488513814,0.8285117600739499,8.761293855,9.225160817,38.39907984,43.96608621,5.361122212,-6.4,920.0
AK-500,2021,95005.44033567484,1497.011912697192,292545.0,Anchorage CoC,4.508708062007555,3.9891298774547503,0.5195781845528038,3.6131193491599585,0.8955887128475961,9.435698607,9.748154784,38.93426521,44.60672367,5.647398844,10.6,1274.0
AK-500,2022,101864.98593613465,1623.2505418441278,290674.0,Anchorage CoC,5.139778583567846,4.7097435615156495,0.43003502205219596,4.0457694874670596,1.0940090961007864,9.754765238,10.3288242,37.44927366,45.01505039,5.191982782,2.6,2019.0
